"15/16" "16/18" "23/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "12/12",2
"15/16" "16/18" "23/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "10/10",1
"15/16" "16/18" "23/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "6/8" "8/11" "11/11",1
"15/16" "16/18" "23/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "10/10",2
"15/16" "16/18" "23/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "11/11",2
"15/16" "16/18" "23/23" "13/14" "28/28" "12/13" "12/13" "12/12" "10/11" "12/14" "6/6" "8/8" "10/10",1
"15/16" "16/18" "23/23" "13/14" "28/28" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "11/11",1
"15/16" "16/18" "23/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "10/10",2
"15/16" "16/18" "23/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "10/10",14
"15/16" "16/18" "23/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "11/11",2
"15/16" "16/18" "23/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12",4
"15/16" "16/18" "23/23" "13/14" "30/30" "12/13" "12/13" "11/11" "8/11" "12/14" "6/6" "8/11" "11/11",1
"15/16" "16/18" "23/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "11/12" "5/5" "10/11" "10/10",1
"15/16" "16/18" "23/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "5/5" "8/11" "11/11",4
"15/16" "16/18" "23/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "5/5" "8/11" "12/12",1
"15/16" "16/18" "23/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "5/8" "10/11" "10/10",1
"15/16" "16/18" "23/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "10/10",5
"15/16" "16/18" "23/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "12/12",3
"15/16" "16/18" "23/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "13/14" "5/5" "10/11" "10/10",1
"15/16" "16/18" "23/23" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "12/12",1
"15/16" "16/18" "23/23" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "10/11" "12/14" "5/8" "8/11" "10/10",1
"15/16" "16/18" "23/23" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "10/10",2
"15/16" "16/18" "23/23" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12",1
"15/16" "16/18" "23/23" "13/14" "32.2/32.2" "12/13" "12/13" "12/12" "10/11" "12/14" "5/5" "8/11" "11/11",1
"15/16" "16/18" "23/23" "13/14" "32.2/32.2" "12/13" "12/13" "12/12" "10/11" "12/14" "6/6" "8/11" "10/10",1
"15/16" "16/18" "23/23" "13/14" "32.2/32.2" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "10/10",2
"15/16" "16/18" "23/23" "13/16" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "11/11",1
"15/16" "16/18" "23/23" "14/16" "28/28" "12/13" "12/13" "11/11" "8/11" "12/14" "6/6" "8/11" "10/10",1
"15/16" "16/19" "21/23" "12/13" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "6/8" "8/11" "11/11",1
"15/16" "16/19" "21/23" "12/13" "30/32.2" "12/13" "13/13" "12/12" "8/11" "12/14" "8/8" "8/11" "12/12",1
"15/16" "16/19" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "11/11",1
"15/16" "16/19" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "12/12",2
"15/16" "16/19" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "10/12",1
"15/16" "16/19" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "12/12",1
"15/16" "16/19" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "10/11" "10/10",1
"15/16" "16/19" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "10/10",5
"15/16" "16/19" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "10/11",1
"15/16" "16/19" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "11/11",4
"15/16" "16/19" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12",1
"15/16" "16/19" "21/23" "13/14" "28/28" "12/13" "12/13" "12/12" "10/11" "12/14" "5/5" "8/11" "11/11",2
"15/16" "16/19" "21/23" "13/14" "28/28" "12/13" "12/13" "12/12" "10/11" "12/14" "6/6" "8/11" "10/10",1
"15/16" "16/19" "21/23" "13/14" "28/28" "12/13" "12/13" "12/12" "10/11" "12/14" "6/6" "8/11" "11/11",1
"15/16" "16/19" "21/23" "13/14" "28/28" "12/13" "12/13" "12/12" "10/11" "12/14" "6/6" "8/11" "12/12",2
"15/16" "16/19" "21/23" "13/14" "28/28" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "10/10",1
"15/16" "16/19" "21/23" "13/14" "28/28" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "11/11",4
"15/16" "16/19" "21/23" "13/14" "28/28" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "12/12",1
"15/16" "16/19" "21/23" "13/14" "28/28" "12/18" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "10/10",1
"15/16" "16/19" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "10/10",1
"15/16" "16/19" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "11/11",1
"15/16" "16/19" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "12/12",1
"15/16" "16/19" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "10/10",4
"15/16" "16/19" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "11/11",1
"15/16" "16/19" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "12/12",1
"15/16" "16/19" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "10/10",33
"15/16" "16/19" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "10/12",1
"15/16" "16/19" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "11/11",4
"15/16" "16/19" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12",10
"15/16" "16/19" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "5/5" "8/11" "10/10",1
"15/16" "16/19" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "5/5" "8/11" "11/11",4
"15/16" "16/19" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "5/5" "8/11" "12/12",2
"15/16" "16/19" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "5/8" "8/11" "11/11",1
"15/16" "16/19" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "6/8" "8/11" "11/11",1
"15/16" "16/19" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "10/10",9
"15/16" "16/19" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "11/11",3
"15/16" "16/19" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "12/12",3
"15/16" "16/19" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/8" "10/10",1
"15/16" "16/19" "21/23" "13/14" "30/30" "13/17" "13/13" "12/12" "11/11" "12/14" "8/8" "8/11" "11/11",1
"15/16" "16/19" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "10/10",2
"15/16" "16/19" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "12/12",1
"15/16" "16/19" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "11/11",2
"15/16" "16/19" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "12/12",1
"15/16" "16/19" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "11/11",2
"15/16" "16/19" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12",6
"15/16" "16/19" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "12/12" "10/11" "12/14" "6/6" "8/11" "10/10",4
"15/16" "16/19" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "12/12" "10/11" "12/14" "6/6" "8/11" "11/11",2
"15/16" "16/19" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "12/12" "10/11" "12/14" "6/6" "8/11" "12/12",1
"15/16" "16/19" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "10/10",4
"15/16" "16/19" "21/23" "14/16" "32.2/32.2" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "11/11",1
"15/16" "16/19" "22/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "10/10",1
"15/16" "16/19" "23/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/10" "13/14" "6/6" "8/11" "10/10",1
"15/16" "18/19" "21/22" "14/16" "28/28" "12/13" "12/13" "12/12" "8/11" "12/14" "6/6" "8/11" "11/11",1
"15/16" "18/19" "21/23" "12/13" "28/28" "12/18" "12/13" "11/11" "10/11" "12/14" "5/8" "10/10" "10/10",1
"15/16" "18/19" "21/23" "12/13" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "6/8" "8/11" "10/10",1
"15/16" "18/19" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "11/11",3
"15/16" "18/19" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "12/12",1
"15/16" "18/19" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "10/10",5
"15/16" "18/19" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "11/11",1
"15/16" "18/19" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12",8
"15/16" "18/19" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "8/11" "12/14" "5/8" "8/10" "10/10",1
"15/16" "18/19" "21/23" "13/14" "28/28" "12/13" "12/13" "12/12" "10/11" "12/14" "5/5" "8/11" "10/10",5
"15/16" "18/19" "21/23" "13/14" "28/28" "12/13" "12/13" "12/12" "10/11" "12/14" "5/5" "8/11" "11/11",3
"15/16" "18/19" "21/23" "13/14" "28/28" "12/13" "12/13" "12/12" "10/11" "12/14" "5/5" "8/11" "12/12",1
"15/16" "18/19" "21/23" "13/14" "28/28" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "10/10",2
"15/16" "18/19" "21/23" "13/14" "28/28" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "11/11",1
"15/16" "18/19" "21/23" "13/14" "28/28" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "12/12",1
"15/16" "18/19" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "10/10",1
"15/16" "18/19" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "11/11",2
"15/16" "18/19" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "10/10",6
"15/16" "18/19" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "11/11",4
"15/16" "18/19" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "12/12",2
"15/16" "18/19" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "6/8" "8/8" "10/10",1
"15/16" "18/19" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "11/11" "10/10",1
"15/16" "18/19" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "10/10",38
"15/16" "18/19" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "11/11",3
"15/16" "18/19" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12",3
"15/16" "18/19" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "8/8" "12/14" "5/5" "8/11" "11/11",1
"15/16" "18/19" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "5/5" "8/11" "10/10",3
"15/16" "18/19" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "5/5" "8/11" "11/11",1
"15/16" "18/19" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "10/10",2
"15/16" "18/19" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "11/11",1
"15/16" "18/19" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "12/12",5
"15/16" "18/19" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "8/10" "12/14" "8/8" "8/8" "11/11",1
"15/16" "18/19" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "8/11" "12/14" "8/8" "8/11" "12/12",1
"15/16" "18/19" "21/23" "13/14" "30/32.2" "12/18" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "11/11",1
"15/16" "18/19" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "10/10",1
"15/16" "18/19" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "11/11",1
"15/16" "18/19" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "12/12",1
"15/16" "18/19" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "11/11",2
"15/16" "18/19" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "10/10",3
"15/16" "18/19" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "11/11",1
"15/16" "18/19" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12",3
"15/16" "18/19" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "8/11" "12/13" "8/8" "8/11" "10/10",1
"15/16" "18/19" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "12/12" "10/11" "12/14" "6/6" "8/11" "11/11",2
"15/16" "18/19" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "12/12" "10/11" "12/14" "6/6" "8/11" "12/12",1
"15/16" "18/19" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "10/10",3
"15/16" "18/19" "21/23" "14/16" "32.2/32.2" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "10/10",1
"15/18" "16/18" "21/22" "14/16" "30/30" "12/13" "12/13" "12/12" "10/11" "11/12" "5/5" "8/11" "12/12",1
"15/18" "16/18" "21/23" "13/14" "28/28" "12/13" "12/12" "11/11" "10/11" "12/14" "5/8" "8/11" "10/12",1
"15/18" "16/18" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "12/12",2
"15/18" "16/18" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "10/10",2
"15/18" "16/18" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "11/11",1
"15/18" "16/18" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "12/12",1
"15/18" "16/18" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "10/10",11
"15/18" "16/18" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "11/11",3
"15/18" "16/18" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12",3
"15/18" "16/18" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "8/11" "12/14" "8/8" "11/11" "11/11",1
"15/18" "16/18" "21/23" "13/14" "28/28" "12/13" "12/13" "11/12" "10/11" "12/14" "5/5" "8/11" "11/11",1
"15/18" "16/18" "21/23" "13/14" "28/28" "12/13" "12/13" "12/12" "10/11" "12/14" "5/5" "8/11" "10/10",2
"15/18" "16/18" "21/23" "13/14" "28/28" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "10/10",2
"15/18" "16/18" "21/23" "13/14" "28/28" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "11/11",1
"15/18" "16/18" "21/23" "13/14" "28/30" "12/13" "12/13" "12/12" "10/11" "12/14" "6/6" "8/11" "11/11",1
"15/18" "16/18" "21/23" "13/14" "30/30" "12/13" "12/12" "11/11" "10/11" "12/14" "5/8" "8/11" "10/10",1
"15/18" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "10/10",5
"15/18" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "11/11",3
"15/18" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "12/12",3
"15/18" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "10/10",4
"15/18" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "11/11",3
"15/18" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "12/12",2
"15/18" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "10/10",56
"15/18" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "11/11",3
"15/18" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12",8
"15/18" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "8/11" "12/14" "8/8" "11/11" "11/11",1
"15/18" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "8/8" "12/14" "5/5" "8/11" "11/11",1
"15/18" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "5/5" "8/11" "10/10",1
"15/18" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "5/5" "8/11" "11/11",4
"15/18" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "6/6" "8/11" "11/11",1
"15/18" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "10/10",7
"15/18" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "11/11",2
"15/18" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "12/12",5
"15/18" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "8/10" "12/14" "8/8" "8/11" "12/12",1
"15/18" "16/18" "21/23" "13/14" "30/30" "12/13" "13/13" "12/12" "10/11" "12/14" "5/5" "10/11" "12/12",1
"15/18" "16/18" "21/23" "13/14" "30/32.2" "12/13" "13/13" "11/11" "10/11" "12/14" "5/5" "8/11" "11/11",1
"15/18" "16/18" "21/23" "13/14" "30/32.2" "12/18" "12/13" "11/12" "10/10" "12/14" "5/5" "8/11" "10/10",1
"15/18" "16/18" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "10/10",3
"15/18" "16/18" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "11/11",1
"15/18" "16/18" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "11/11",2
"15/18" "16/18" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "12/12",2
"15/18" "16/18" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "10/10",7
"15/18" "16/18" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "11/11",2
"15/18" "16/18" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12",8
"15/18" "16/18" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "12/12" "10/11" "12/14" "5/5" "8/11" "11/11",1
"15/18" "16/18" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "12/12" "10/11" "12/14" "5/8" "8/11" "11/11",1
"15/18" "16/18" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "12/12" "10/11" "12/14" "6/6" "8/11" "10/10",2
"15/18" "16/18" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "12/12" "10/11" "12/14" "6/6" "8/11" "11/11",5
"15/18" "16/18" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "12/12" "10/11" "12/14" "6/8" "8/11" "11/11",1
"15/18" "16/18" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "10/10",4
"15/18" "16/18" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "11/11",2
"15/18" "16/18" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "12/12",1
"15/18" "16/18" "21/23" "13/16" "32.2/32.2" "12/13" "12/13" "11/11" "10/10" "12/14" "8/8" "8/11" "12/12",1
"15/18" "16/18" "22/23" "12/16" "30/30" "12/13" "12/13" "12/12" "8/8" "12/14" "6/8" "8/11" "12/12",1
"15/18" "16/18" "22/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12",1
"15/18" "16/18" "22/23" "13/14" "28/28" "12/13" "12/13" "11/11" "8/11" "12/14" "5/6" "8/11" "12/12",1
"16/16" "16/18" "21/23" "12/16" "28/30" "12/13" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "11/11",1
"16/16" "16/18" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "11/12" "6/8" "8/11" "11/11",1
"16/16" "16/18" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "11/14" "8/8" "8/11" "10/10",1
"16/16" "16/18" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "10/10",2
"16/16" "16/18" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "10/10",2
"16/16" "16/18" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "11/11",1
"16/16" "16/18" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12",1
"16/16" "16/18" "21/23" "13/14" "28/28" "12/13" "12/13" "12/12" "10/11" "11/12" "8/8" "8/11" "10/10",1
"16/16" "16/18" "21/23" "13/14" "28/28" "12/13" "12/13" "12/12" "10/11" "12/14" "6/6" "8/11" "10/10",1
"16/16" "16/18" "21/23" "13/14" "28/28" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "10/10",1
"16/16" "16/18" "21/23" "13/14" "28/28" "12/17" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "10/10",1
"16/16" "16/18" "21/23" "13/14" "28/32.2" "12/13" "12/13" "12/12" "10/11" "12/14" "5/5" "8/11" "10/10",1
"16/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "11/11",3
"16/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "5/5" "8/8" "12/12",1
"16/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "10/10",1
"16/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "12/12",1
"16/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "10/10",15
"16/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "11/11",3
"16/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12",2
"16/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "5/5" "8/11" "10/10",1
"16/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "5/5" "8/11" "11/11",2
"16/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "10/10",3
"16/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "11/11",2
"16/16" "16/18" "21/23" "13/14" "30/30" "13/18" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "12/12",1
